PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,Name,Salary
2050,2004-05,00,1610612761,TOR,27.0,82,61,2511.0,356,848,0.42,129,335,0.385,188,226,0.832,71,269,340,169,91,18,93,219,1029,Morris Peterson,"$2,371,000"
2051,2004-05,00,1610612751,NJN,24.0,3,0,16.0,2,2,1.0,0,0,0.0,4,4,1.0,2,5,7,1,1,1,1,2,8,Donnell Harvey,"$2,363,000"
2052,2004-05,00,1610612753,ORL,24.0,55,27,1087.0,174,426,0.408,25,67,0.373,56,101,0.554,38,64,102,69,16,9,57,73,429,DeShawn Stevenson,"$2,362,000"
2207,2004-05,00,1610612756,PHX,24.0,82,82,3238.0,544,1179,0.461,177,370,0.478,135,180,0.75,120,302,422,291,79,24,148,167,1400,Joe Johnson,"$2,358,000"
2208,2004-05,00,1610612755,PHI,24.0,8,0,55.0,2,6,0.333,0,3,0.0,8,10,0.8,1,10,11,4,3,1,5,4,12,Kedrick Brown,"$2,332,000"
2054,2004-05,00,1610612763,MEM,26.0,31,1,279.0,32,64,0.5,0,0,0.0,14,18,0.778,21,35,56,10,3,16,12,42,78,Jake Tsakalidis,"$2,322,000"
2209,2004-05,00,1610612760,SEA,24.0,63,0,1856.0,266,650,0.409,128,329,0.389,81,103,0.786,52,237,289,86,57,31,80,172,741,Vladimir Radmanovic,"$2,301,000"
2055,2004-05,00,1610612746,LAC,30.0,11,0,72.0,8,20,0.4,0,1,0.0,4,7,0.571,9,9,18,1,1,5,0,20,20,Mamadou N'diaye,"$2,269,000"
2210,2004-05,00,1610612751,NJN,25.0,33,33,1356.0,238,564,0.422,30,89,0.337,227,269,0.844,49,191,240,133,33,17,132,109,733,Richard Jefferson,"$2,266,000"
2211,2004-05,00,1610612744,GSW,25.0,70,69,2375.0,392,947,0.414,59,148,0.399,233,319,0.73,251,505,756,97,53,33,108,190,1076,Troy Murphy,"$2,232,000"
2058,2004-05,00,1610612750,MIN,29.0,41,14,601.0,34,66,0.515,0,0,0.0,20,40,0.5,63,65,128,18,7,14,24,103,88,Mark Madsen,"$2,212,000"
2215,2004-05,00,1610612751,NJN,26.0,80,80,2542.0,186,451,0.412,2,6,0.333,137,209,0.656,153,335,488,105,71,71,91,322,511,Jason Collins,"$1,887,000"
2216,2004-05,00,1610612757,POR,23.0,46,37,1605.0,332,741,0.448,0,6,0.0,207,254,0.815,142,300,442,86,34,17,112,112,871,Zach Randolph,"$1,805,000"
1905,2004-05,00,1610612762,UTA,24.0,41,37,1350.0,207,420,0.493,23,77,0.299,203,259,0.784,89,166,255,132,67,136,90,101,640,Andrei Kirilenko,"$1,672,000"
2223,2004-05,00,1610612755,PHI,25.0,72,60,1785.0,250,477,0.524,0,0,0.0,89,148,0.601,187,355,542,35,46,121,114,241,589,Samuel Dalembert,"$1,600,000"
2224,2004-05,00,1610612754,IND,27.0,40,40,1301.0,218,522,0.418,58,156,0.372,122,164,0.744,26,134,160,257,81,12,134,112,616,Jamaal Tinsley,"$1,554,000"
2056,2004-05,00,1610612766,CHA,25.0,72,72,2277.0,387,756,0.512,0,0,0.0,164,220,0.745,226,305,531,86,33,55,106,183,938,Primoz Brezec,"$1,554,000"
2225,2004-05,00,1610612759,SAS,23.0,80,80,2735.0,539,1118,0.482,43,156,0.276,210,323,0.65,47,251,298,491,98,4,215,167,1331,Tony Parker,"$1,545,000"
2222,2004-05,00,1610612766,CHA,22.0,70,68,2146.0,286,637,0.449,17,62,0.274,191,289,0.661,118,268,386,137,117,91,159,182,780,Gerald Wallace,"$1,377,000"
